date,strategy,symbol,side,weight_from,weight_to,weight_delta,price,turnover_contribution,equity_before
2021-08-14,btc_gate_alt_hedge,BTC-USDT,buy,0.0,0.20645058036341787,0.20645058036341787,47080.0,0.20645058036341787,1.0
2021-08-14,btc_gate_alt_hedge,ADA-USDT,buy,0.0,0.1689141112064328,0.1689141112064328,2.19035,0.1689141112064328,1.0
2021-08-28,btc_gate_alt_hedge,BTC-USDT,sell,0.19705839731831942,0.1688664832956341,-0.02819191402268531,48892.0,0.02819191402268531,1.0685668508137407
2021-08-28,btc_gate_alt_hedge,SOL-USDT,buy,0.0,0.13816348633279155,0.13816348633279155,96.17,0.13816348633279155,1.0685668508137407
2021-08-28,btc_gate_alt_hedge,ADA-USDT,sell,0.19443033800558188,0.0,-0.19443033800558188,2.84613,0.19443033800558188,1.0685668508137407
2021-09-11,btc_gate_alt_hedge,BTC-USDT,buy,0.13914172819761483,0.15325543878271836,0.014113710585103523,45165.7,0.014113710585103523,1.2060228985009043
2021-09-11,btc_gate_alt_hedge,SOL-USDT,sell,0.2570736119469794,0.12539081354949683,-0.1316827983974826,179.11,0.1316827983974826,1.2060228985009043
2021-09-25,btc_gate_alt_hedge,BTC-USDT,sell,0.1565403111295471,0.1372619142071585,-0.019278396922388613,42678.0,0.019278396922388613,1.1633235499955012
2021-10-09,btc_gate_alt_hedge,SOL-USDT,buy,0.11891396659489843,0.13267374762397469,0.013759781029076254,156.82,0.013759781029076254,1.2233264757441766
2021-10-23,btc_gate_alt_hedge,ADA-USDT,short,0.0,-0.06446928354724671,-0.06446928354724671,2.1666,0.06446928354724671,1.2864424708627664
2021-11-06,btc_gate_alt_hedge,SOL-USDT,sell,0.174711748976753,0.0,-0.174711748976753,258.34,0.174711748976753,1.3317109241850666
2021-11-06,btc_gate_alt_hedge,DOT-USDT,buy,0.0,0.14267347868661834,0.14267347868661834,52.015,0.14267347868661834,1.3317109241850666
2021-11-20,btc_gate_alt_hedge,BTC-USDT,buy,0.1696388202197781,0.20992649519982068,0.04028767498004257,59716.0,0.04028767498004257,1.2863580869618512
2021-11-20,btc_gate_alt_hedge,SOL-USDT,buy,0.0,0.17175804152712598,0.17175804152712598,217.69,0.17175804152712598,1.2863580869618512
2021-11-20,btc_gate_alt_hedge,ADA-USDT,cover,-0.059588385459149504,0.0,0.059588385459149504,1.92196,0.059588385459149504,1.2863580869618512
2021-11-20,btc_gate_alt_hedge,DOT-USDT,sell,0.11205561146692491,0.0,-0.11205561146692491,42.093,0.11205561146692491,1.2863580869618512
2021-12-04,btc_gate_alt_hedge,BTC-USDT,sell,0.20244280975393242,0.1645218418754462,-0.03792096787848623,49159.7,0.03792096787848623,1.2611951784571376
2021-12-04,btc_gate_alt_hedge,SOL-USDT,sell,0.1847107557658063,0.13460877971627416,-0.05010197604953215,200.67,0.05010197604953215,1.2611951784571376
2021-12-04,btc_gate_alt_hedge,ADA-USDT,short,0.0,-0.05982612431834407,-0.05982612431834407,1.41939,0.05982612431834407,1.2611951784571376
2021-12-18,btc_gate_alt_hedge,BTC-USDT,sell,0.15043423226234093,0.0,-0.15043423226234093,46835.7,0.15043423226234093,1.2193851916067966
2021-12-18,btc_gate_alt_hedge,SOL-USDT,sell,0.11576521090427035,0.0,-0.11576521090427035,182.73,0.11576521090427035,1.2193851916067966
2021-12-18,btc_gate_alt_hedge,ADA-USDT,cover,-0.04902892789465124,0.0,0.04902892789465124,1.24218,0.04902892789465124,1.2193851916067966
2022-11-05,btc_gate_alt_hedge,BTC-USDT,buy,0.0,0.14421153781765475,0.14421153781765475,21300.5,0.14421153781765475,1.2188177892425174
2022-11-05,btc_gate_alt_hedge,DOGE-USDT,buy,0.0,0.11799125821444478,0.11799125821444478,0.12443,0.11799125821444478,1.2188177892425174
2022-11-05,btc_gate_alt_hedge,ETC-USDT,short,0.0,-0.05244055920641991,-0.05244055920641991,26.533,0.05244055920641991,1.2188177892425174
2022-11-19,btc_gate_alt_hedge,BTC-USDT,sell,0.12067701423353988,0.0,-0.12067701423353988,16707.7,0.12067701423353988,1.1495925933077278
2022-11-19,btc_gate_alt_hedge,DOGE-USDT,sell,0.08402725397724838,0.0,-0.08402725397724838,0.08452,0.08402725397724838,1.1495925933077278
2022-11-19,btc_gate_alt_hedge,ETC-USDT,cover,-0.042374897080770885,0.0,0.042374897080770885,19.508,0.042374897080770885,1.1495925933077278
2023-01-14,btc_gate_alt_hedge,BTC-USDT,buy,0.0,0.36149231386195496,0.36149231386195496,20950.7,0.36149231386195496,1.1491668873260161
2023-01-14,btc_gate_alt_hedge,LTC-USDT,buy,0.0,0.2957664386143268,0.2957664386143268,87.84,0.2957664386143268,1.1491668873260161
2023-01-28,btc_gate_alt_hedge,BTC-USDT,sell,0.3936067175572369,0.16847805508230265,-0.22512866247493427,23025.1,0.22512866247493427,1.2239933449142248
2023-01-28,btc_gate_alt_hedge,SOL-USDT,buy,0.0,0.1378456814309749,0.1378456814309749,24.0,0.1378456814309749,1.2239933449142248
2023-01-28,btc_gate_alt_hedge,LTC-USDT,sell,0.283182663913144,0.0,-0.283182663913144,89.69,0.283182663913144,1.2239933449142248
2023-02-11,btc_gate_alt_hedge,SOL-USDT,buy,0.11938329377159658,0.1318434599371727,0.012460166165576117,20.808,0.012460166165576117,1.1801363469773918
2023-02-25,btc_gate_alt_hedge,BTC-USDT,buy,0.17114037524222306,0.23121997763448893,0.06007960239226587,23157.2,0.06007960239226587,1.2167532091150053
2023-02-25,btc_gate_alt_hedge,SOL-USDT,buy,0.15044990364030933,0.1891799817009455,0.038730078060636164,22.367,0.038730078060636164,1.2167532091150053
2023-03-11,btc_gate_alt_hedge,BTC-USDT,buy,0.21959830357216734,0.5342086782465261,0.3146103746743587,20454.7,0.3146103746743587,1.1307408725459303
2023-03-11,btc_gate_alt_hedge,SOL-USDT,sell,0.15363873116211063,0.0,-0.15363873116211063,18.078,0.15363873116211063,1.1307408725459303
2023-03-25,btc_gate_alt_hedge,BTC-USDT,sell,0.6168867149926442,0.24266463762788823,-0.374222077364756,27462.4,0.374222077364756,1.348576061057371
2023-03-25,btc_gate_alt_hedge,ETH-USDT,buy,0.0,0.1985437944228176,0.1985437944228176,1742.25,0.1985437944228176,1.348576061057371
2023-04-08,btc_gate_alt_hedge,BTC-USDT,sell,0.24317547114247168,0.18415129513871234,-0.05902417600375934,27940.0,0.05902417600375934,1.3702868075716776
2023-04-08,btc_gate_alt_hedge,ETH-USDT,sell,0.20848952226454823,0.0,-0.20848952226454823,1848.85,0.20848952226454823,1.3702868075716776
2023-04-08,btc_gate_alt_hedge,XRP-USDT,buy,0.0,0.15066924147712826,0.15066924147712826,0.50488,0.15066924147712826,1.3702868075716776
2023-04-22,btc_gate_alt_hedge,BTC-USDT,buy,0.1880357504726015,0.2456974729109623,0.05766172243836082,27811.4,0.05766172243836082,1.3379350934958345
2023-04-22,btc_gate_alt_hedge,XRP-USDT,buy,0.14090302801028312,0.20102520510896915,0.06012217709868603,0.47198,0.06012217709868603,1.3379350934958345
2023-04-22,btc_gate_alt_hedge,DOT-USDT,short,0.0,-0.0893445356039863,-0.0893445356039863,5.946,0.0893445356039863,1.3379350934958345
2023-05-06,btc_gate_alt_hedge,BTC-USDT,buy,0.25426967653685356,0.34692834679515766,0.0926586702583041,28848.4,0.0926586702583041,1.375380052995631
2023-05-06,btc_gate_alt_hedge,ETH-USDT,buy,0.0,0.2838504655596744,0.2838504655596744,1896.16,0.2838504655596744,1.375380052995631
2023-05-06,btc_gate_alt_hedge,XRP-USDT,sell,0.2018739734509221,0.0,-0.2018739734509221,0.45824,0.2018739734509221,1.375380052995631
2023-05-06,btc_gate_alt_hedge,DOT-USDT,cover,-0.08471737870163167,0.0,0.08471737870163167,5.636,0.08471737870163167,1.375380052995631
2023-05-20,btc_gate_alt_hedge,BTC-USDT,buy,0.33508883514011356,0.8553613635726223,0.5202725284325087,27104.6,0.5202725284325087,1.2962725770197303
2023-05-20,btc_gate_alt_hedge,ETH-USDT,sell,0.27253057610551334,0.0,-0.27253057610551334,1819.46,0.27253057610551334,1.2962725770197303
2023-06-03,btc_gate_alt_hedge,BTC-USDT,sell,0.8550519283805063,0.36222067838187694,-0.4928312499986293,27069.2,0.4928312499986293,1.309401540012083
2023-06-03,btc_gate_alt_hedge,DOGE-USDT,short,0.0,-0.13171661032068252,-0.13171661032068252,0.07269,0.13171661032068252,1.309401540012083
2023-06-03,btc_gate_alt_hedge,TRX-USDT,buy,0.0,0.2963623732215357,0.2963623732215357,0.08178,0.2963623732215357,1.309401540012083
2023-06-17,btc_gate_alt_hedge,BTC-USDT,buy,0.35586136928603085,0.5395445296604052,0.18368316037437438,26515.5,0.18368316037437438,1.2598815695213397
2023-06-17,btc_gate_alt_hedge,ADA-USDT,short,0.0,-0.10790890593208105,-0.10790890593208105,0.26671,0.10790890593208105,1.2598815695213397
2023-06-17,btc_gate_alt_hedge,DOGE-USDT,cover,-0.1167836342899977,0.0,0.1167836342899977,0.06219,0.1167836342899977,1.2598815695213397
2023-06-17,btc_gate_alt_hedge,TRX-USDT,sell,0.2662417266409347,0.0,-0.2662417266409347,0.07166,0.2662417266409347,1.2598815695213397
2023-07-01,btc_gate_alt_hedge,BTC-USDT,sell,0.5779140810091196,0.13141501265752129,-0.44649906835159825,30588.1,0.44649906835159825,1.3527876197860844
2023-07-01,btc_gate_alt_hedge,ADA-USDT,cover,-0.10458217569444868,-0.04778727733000773,0.056794898364440946,0.29239,0.056794898364440946,1.3527876197860844
2023-07-01,btc_gate_alt_hedge,BCH-USDT,buy,0.0,0.1075213739925174,0.1075213739925174,291.45,0.1075213739925174,1.3527876197860844
2023-07-15,btc_gate_alt_hedge,BTC-USDT,buy,0.1381472180851964,0.15512367052614592,0.01697645244094953,30291.8,0.01697645244094953,1.3221029110548663
2023-07-15,btc_gate_alt_hedge,ADA-USDT,cover,-0.06066877820769644,0.0,0.06066877820769644,0.32603,0.06066877820769644,1.3221029110548663
2023-07-15,btc_gate_alt_hedge,BCH-USDT,buy,0.09869899342580103,0.1269193667941194,0.028220373368318355,253.27,0.028220373368318355,1.3221029110548663
2023-07-29,btc_gate_alt_hedge,BTC-USDT,buy,0.1517726886145637,0.28156747995679016,0.12979479134222646,29352.1,0.12979479134222646,1.3006101509965022
2023-07-29,btc_gate_alt_hedge,BCH-USDT,buy,0.11962605904669503,0.23037339269191923,0.1107473336452242,241.94,0.1107473336452242,1.3006101509965022
2023-08-12,btc_gate_alt_hedge,BTC-USDT,buy,0.2850173739702052,0.44446883698518175,0.15945146301497654,29430.1,0.15945146301497654,1.2867560433335614
2023-08-12,btc_gate_alt_hedge,BCH-USDT,buy,0.22329844136450858,0.36365632116969415,0.14035787980518558,228.73,0.14035787980518558,1.2867560433335614
2023-08-26,btc_gate_alt_hedge,BTC-USDT,sell,0.4416733074148104,0.0,-0.4416733074148104,26022.2,0.4416733074148104,1.1447086540601648
2023-08-26,btc_gate_alt_hedge,BCH-USDT,sell,0.34399112392665526,0.0,-0.34399112392665526,190.12,0.34399112392665526,1.1447086540601648
2023-10-07,btc_gate_alt_hedge,BTC-USDT,buy,0.0,0.4347856772682141,0.4347856772682141,27956.0,0.4347856772682141,1.1433617678925658
2023-10-07,btc_gate_alt_hedge,LTC-USDT,short,0.0,-0.15810388264298694,-0.15810388264298694,65.45,0.15810388264298694,1.1433617678925658
2023-10-07,btc_gate_alt_hedge,TRX-USDT,buy,0.0,0.35573373594672064,0.35573373594672064,0.08809,0.35573373594672064,1.1433617678925658
